trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
273,False,"{'a': 0.7, 'e': 0.06368590427489453}",25,3,35.78587032953286,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.7, 'e': 0.06304904523214558}",25,19,11.079022512262348,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.7, 'e': 0.06241855477982412}",20,3,28.675788538791572,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.7, 'e': 0.06179436923202588}",25,13,-29.998688559185045,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
277,False,"{'a': 0.7, 'e': 0.06117642553970562}",25,11,2.4617441092316668,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
278,False,"{'a': 0.7, 'e': 0.06056466128430856}",25,15,-4.697287463585766,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
279,False,"{'a': 0.7, 'e': 0.05995901467146548}",20,14,10.412684255491875,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.7, 'e': 0.05935942452475082}",25,10,26.064943182335142,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.7, 'e': 0.058765830279503314}",20,3,30.04639397832148,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.7, 'e': 0.05817817197670828}",30,21,18.043114512622232,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.7, 'e': 0.057596390256941195}",20,11,19.17295583009553,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.7, 'e': 0.05702042635437178}",25,7,32.816171115572,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.7, 'e': 0.05645022209082806}",25,13,27.460663596661984,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.7, 'e': 0.05588571986991978}",20,15,10.206764418890792,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.7, 'e': 0.055326862671220584}",30,22,16.826603267469945,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.7, 'e': 0.05477359404450838}",25,11,26.534604853768283,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.7, 'e': 0.054225858104063294}",20,0,31.345262784462097,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
290,False,"{'a': 0.7, 'e': 0.05368359952302266}",20,11,-6.720665028354327,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
291,False,"{'a': 0.7, 'e': 0.053146763527792434}",30,17,25.493756412424737,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.7, 'e': 0.052615295892514506}",25,14,20.58263424008609,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.7, 'e': 0.052089142933589364}",30,14,26.732587594918726,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.7, 'e': 0.05156825150425347}",25,3,24.477120202474104,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
295,False,"{'a': 0.7, 'e': 0.051052568989210935}",25,4,29.68540907485341,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.7, 'e': 0.05054204329931883}",20,12,12.805748256030332,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.7, 'e': 0.05003662286632564}",30,8,21.7270610030061,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
298,False,"{'a': 0.7, 'e': 0.04953625663766238}",20,9,19.07157007545657,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,16,27.373228423127642,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,8,15.385046787612243,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,17,15.175170927128558,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,14,21.234923924246058,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,19,18.922444990967865,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,15,16.88034328465764,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,9,28.70383609488578,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,12,16.482825553775573,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,2,36.377991206941985,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,17,17.755672818822124,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
